Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sel3_SRR5819797.trim_2P.fastq.gz	sel3_SRR5819797.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2098888.0	0.0	36-101	39.0	66.14461607249655	95.72616356851819	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
sel3_SRR5819797.trim_2U.fastq.gz	sel3_SRR5819797.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	213944.0	0.0	36-101	39.0	72.43178963633018	93.9430598661332	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
sel3_SRR5819798.trim_1P.fastq.gz	sel3_SRR5819798.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1478943.0	0.0	36-101	43.0	51.49786519956743	87.8368537529844	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
sel3_SRR5819798.trim_1U.fastq.gz	sel3_SRR5819798.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	568979.0	0.0	36-101	43.0	63.26978542948832	95.36179015394241	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
sel3_SRR5819798.trim_2P.fastq.gz	sel3_SRR5819798.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1478943.0	0.0	36-101	43.0	52.941109480269496	86.14704420657185	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
sel3_SRR5819798.trim_2U.fastq.gz	sel3_SRR5819798.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	516463.0	0.0	36-101	42.0	63.23021778584157	96.17564084939289	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
sel3_SRR5819799.trim_1P.fastq.gz	sel3_SRR5819799.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1557335.0	0.0	36-101	43.0	43.52246120152981	87.83053999300087	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
sel3_SRR5819799.trim_1U.fastq.gz	sel3_SRR5819799.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	510679.0	0.0	36-101	42.0	56.06537544314377	95.9083103084325	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
sel3_SRR5819799.trim_2P.fastq.gz	sel3_SRR5819799.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1557335.0	0.0	36-101	43.0	48.22040181167122	86.92711330574346	pass	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
sel3_SRR5819799.trim_2U.fastq.gz	sel3_SRR5819799.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	504082.0	0.0	36-101	42.0	54.96002029277114	95.32134057554129	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
